규격,도수,전통주명,제조사,주원료
750ml,12,산머루와인 깊은맛 드라이,하미앙 와인밸리,산머루
750ml,12,오크와인,하미앙 와인밸리,산머루
750ml,12,2018년산 하미앙 오크와인,하미앙 와인밸리,국내산 산머루
"375ml, 750ml",12,2016년산 하미앙 드라이,하미앙 와인밸리,국내산 산머루
"375ml, 750ml",10.5,2016년산 하미앙 스위트,하미앙 와인밸리,국내산 산머루
750ml,17,하향주,하향주가,찹쌀
935ml,6,나루 생 막걸리 6도,한강주조,"정제수, 쌀(국내산), 국, 효모(밀함유)"
500ml,11.5,나루 생 막걸리 11.5도,한강주조,"정제수, 쌀(국내산), 국, 효모(밀함유)"
375ml,39,김수한무,한국고량주 농업회사법인,"수수(국내산), 누룩(국내산), 효모(국내산), 정제수"
740ml,21,계룡산 산삼주 금수강산 21%,한국산삼,"산양산삼, 정제수, 주정"
740ml,40,계룡산 산삼주 금수강산 40%,한국산삼,"산양산삼, 정제수, 주정"
330ml,9,헤베,한국애플리즈,사과와인(사과과즙 100%)
500ml,12,스타베리오디,한국와인,양조용포도(영천)
375ml,12,뱅꼬레 아이스와인,한국와인,양조용포도(영천)
375ml,11.5,뱅꼬레 로제와인,한국와인,양조용포도(영천)
375ml,12,뱅꼬레 레드와인,한국와인,양조용포도(영천)
375ml,11,뱅꼬레 화이트와인,한국와인,양조용포도(경북 영천)
750ml/375ml,12,뱅꼬레 더감,한국와인,"감, 효모"
700ml,43,불소곡주,한산소곡주,"찹쌀, 국내산 멥쌀"
"700ml, 1800ml",18,한산소곡주,한산소곡주,"찹쌀, 국내산 멥쌀"
700ml,18,일오백화이트,한산소곡주,"찹쌀(국내산), 백미(국내산), 누룩(밀:국내산), 정제수, 야국, 메주콩, 생강, 홍고추"
700ml,43,일오백골드,한산소곡주,"찹쌀(국내산), 백미(국내산), 누룩(밀:국내산), 정제수, 꿀, 들국화, 생지황, 메주콩, 홍고추"
500ml,41,불소주,한산소곡주,"멥쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀함유), 효모, 정제수"
500ml,16,백송,한산소곡주,"멥쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀함유), 효모, 정제수"
700ml,43,일오백블루,한산소곡주,"찹쌀(국내산), 백미(국내산), 누룩(밀:국내산), 정제수, 꿀, 들국화, 생지황, 메주콩, 생강, 홍고추"
"750ml, 1.5L, 1.8L",16,한산소곡주 생주,한산소곡주,"멥쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀함유), 효모, 정제수"
750ml,16,예담은 한산소곡주,한산예담은소곡주,"찹쌀, 멥쌀, 누룩, 대두, 구절초"
500ml,41,한산예담은 한산소곡화주,한산예담은소곡주,"찹쌀, 멥쌀, 누룩, 대두, 구절초"
500ml,9,아홉쌀,한아양조,"정제수, 멥쌀(국내산), 국, 효모"
500ml,7,일곱쌀,한아양조,"정제수, 멥쌀(국내산), 국, 효모"
500ml,12,열두쌀,한아양조,"정제수, 멥쌀(국내산), 국, 효모"
375ml,13.8,한영석 하향주,한영석의발효연구소,"찹쌀, 정제수, 한영석 누룩(향미주국)"
1000ml,6,안성맞춤 생막걸리,한주양조,"국내산 쌀, 누룩, 효모, 젖산, 정제효소, 정제수"
"360ml, 500ml",35,한주,한주양조,"국내산 쌀, 밀누룩, 정제수"
330ml,8,백구막걸리,한통술양조장,"쌀. 설향곡(누룩), 시나몬(스리랑카), 벌꿀, 둥글레, 감초"
850ml,8,연꽃담은술,한통술이노베이션주식회사,"둥굴레(국내산),개똥쑥(국내산),감초(국내산),향온곡누룩(녹두,보리,밀(국내산)), 사카린나트륨제제(포도당(70%),사카린나트륨(30%)(감미료))"
500ml,40,천지향 증류주,함평천지복분자(영),국내산 복분자
375ml,16,해남진양주,해남진양주,국내산 찹쌀(해남)
500ml,12,세인트하우스 모과와인,해미읍성딸기와인,모과 80%
500ml,12,세인트하우스 살구와인,해미읍성딸기와인,살구 80%
900ml,9,해창 막걸리 9도,해창주조장,"햅쌀, 찹쌀, 물, 누룩"
"350ml, 500ml",9,냥이탁주 9도,행주산성주가,"정제수, 쌀(국내산), 찰보리(국내산), 찰수수(국내산), 벌꿀(국내산), 오미자(국내산), 송순(국내산), 누룩, 개량누룩, 밀함유"
350ml,5,냥이탁주 fresh,행주산성주가,"정제수, 쌀(국내산), 찰보리(국내산), 찰수수(국내산), 벌꿀(국내산), 오미자(국내산), 송순(국내산), 누룩, 개량누룩, 밀함유"
400ml,16,대관령 복분자주,홍지원,국내산 복분자
500ml,25,화백,화백,"멥쌀(국내산), 찹쌀(국내산), 누룩(국내산 밀함유), 효모, 정제수"
750ml,6,산천어막걸리,화천주가,"정제수,팽화미(쌀/외국산),입국(쌀),국(밀),설탕,정제효소제, 효모,아스파탐(감미료,페닐알라닌 함유)"
375ml,17,황금보리 증류주 17,황금보리(유)농업회사법인,"보리(국내산) 39.9%, 누룩(국내산)3.3%, 효소(액화효소), 효모(향미증진제), 정제수, 과당, 구연산(산도조절제)"
375ml,25,황금보리 증류주 25,황금보리(유)농업회사법인,"정제수, 보리(국내산) 40.05%, 누룩, 효소(액화효소), 효모, 과당, 구연산(산도조절제)"
375ml,40,황금보리 증류주 40,황금보리(유)농업회사법인,"보리(국내산) 40.27%, 누룩, 효소(액화효소), 효모(향미증진제), 정제수, 과당, 구연산(산도조절제)"
